Source:_data/IAMC/Spain/Spain_IAMC.xlsx	Unnamed:_1	Unnamed:_2
ES431	Hydrorun-of-the-river	0.0
ES432	Hydrorun-of-the-river	0.0
ES511	Hydrorun-of-the-river	4.7
ES512	Hydrorun-of-the-river	2.591
ES513	Hydrorun-of-the-river	6.391
ES514	Hydrorun-of-the-river	0.0
ES523	Hydrorun-of-the-river	0.0
ES613	Hydrorun-of-the-river	14.509
ES614	Hydrorun-of-the-river	55.944
ES615	Hydrorun-of-the-river	8.636
ES616	Hydrorun-of-the-river	86.482
ES617	Hydrorun-of-the-river	30.606
ES618	Hydrorun-of-the-river	40.071
ES111	Lignite	0.0
ES112	Lignite	0.0
ES113	Lignite	0.0
ES114	Lignite	0.0
ES120	Lignite	0.0
ES130	Lignite	0.0
ES211	Lignite	0.0
ES212	Lignite	0.0
ES213	Lignite	0.0
ES220	Lignite	0.0
ES230	Lignite	0.0
ES241	Lignite	0.0
ES242	Lignite	0.0
ES243	Lignite	0.0
ES300	Lignite	0.0
ES412	Lignite	0.0
ES413	Lignite	0.0
ES414	Lignite	0.0
ES415	Lignite	0.0
ES416	Lignite	0.0
ES417	Lignite	0.0
ES418	Lignite	0.0
ES419	Lignite	0.0
ES421	Lignite	0.0
ES422	Lignite	0.0
ES423	Lignite	0.0
ES424	Lignite	0.0
ES425	Lignite	0.0
ES431	Lignite	0.0
ES432	Lignite	0.0
ES511	Lignite	0.0
ES512	Lignite	0.0
ES513	Lignite	0.0
ES514	Lignite	0.0
ES521	Lignite	0.0
ES522	Lignite	0.0
ES523	Lignite	0.0
ES532	Lignite	0.0
ES611	Lignite	0.0
ES612	Lignite	0.0
ES613	Lignite	0.0
ES614	Lignite	0.0
ES615	Lignite	0.0
ES616	Lignite	0.0
ES617	Lignite	0.0
ES618	Lignite	0.0
ES620	Lignite	0.0
ES111	Oil	249.097
ES130	Oil	236.642
ES422	Oil	217.96
ES111	Solar	0.0
ES112	Solar	1.438
ES113	Solar	0.0
ES114	Solar	8.63
ES120	Solar	0.0
ES130	Solar	37.902
ES211	Solar	1.079
ES212	Solar	0.0
ES213	Solar	0.0
ES220	Solar	125.788
ES230	Solar	49.409
ES241	Solar	77.817
ES242	Solar	563.997
ES243	Solar	968.762
ES300	Solar	207.345
ES412	Solar	27.33
ES413	Solar	236.185
ES414	Solar	140.316
ES415	Solar	181.598
ES416	Solar	223.24
ES417	Solar	53.005
ES418	Solar	573.562
ES419	Solar	261.357
ES421	Solar	721.861
ES422	Solar	2401.337
ES423	Solar	1356.124
ES424	Solar	1182.653
ES425	Solar	413.18
ES431	Solar	3544.577
ES432	Solar	2635.508
ES511	Solar	16.11
ES512	Solar	5.826
ES513	Solar	44.375
ES514	Solar	15.175
ES521	Solar	137.08
ES522	Solar	54.084
ES523	Solar	92.561
ES532	Solar	195.694
ES611	Solar	688.706
ES612	Solar	936.039
ES613	Solar	337.161
ES614	Solar	593.34
ES615	Solar	627.358
ES616	Solar	157.073
ES617	Solar	180.879
ES618	Solar	2624.001
ES620	Solar	1167.837
ES111	Waste	110.73
ES112	Waste	0.0
ES113	Waste	0.0
ES114	Waste	0.0
ES120	Waste	85.262
ES130	Waste	0.0
ES211	Waste	0.0
ES212	Waste	0.0
ES213	Waste	63.116
ES220	Waste	33.219
ES230	Waste	0.0
ES241	Waste	0.0
ES242	Waste	0.0
ES243	Waste	0.0
ES300	Waste	0.0
ES412	Waste	0.0
ES413	Waste	55.365
ES414	Waste	0.0
ES415	Waste	0.0
ES416	Waste	0.0
ES417	Waste	0.0
ES418	Waste	0.0
ES419	Waste	0.0
ES421	Waste	0.0
ES422	Waste	55.365
ES423	Waste	0.0
ES424	Waste	0.0
ES425	Waste	0.0
ES431	Waste	0.0
ES432	Waste	0.0
ES511	Waste	0.0
ES512	Waste	0.0
ES513	Waste	0.0
ES514	Waste	0.0
ES521	Waste	0.0
ES522	Waste	0.0
ES523	Waste	0.0
ES532	Waste	42.077
ES611	Waste	0.0
ES612	Waste	0.0
ES613	Waste	0.0
ES614	Waste	0.0
ES615	Waste	100.765
ES616	Waste	0.0
ES617	Waste	0.0
ES618	Waste	0.0
ES620	Waste	0.0
ES111	Windonshore	1632.887
ES112	Windonshore	1526.118
ES113	Windonshore	526.555
ES114	Windonshore	519.614
ES120	Windonshore	587.045
ES130	Windonshore	401.61
ES211	Windonshore	269.723
ES212	Windonshore	18.841
ES213	Windonshore	45.615
ES220	Windonshore	1328.982
ES230	Windonshore	408.551
ES241	Windonshore	302.447
ES242	Windonshore	728.848
ES243	Windonshore	4281.461
ES300	Windonshore	62.473
ES412	Windonshore	1344.65
ES413	Windonshore	503.748
ES414	Windonshore	1162.19
ES415	Windonshore	229.066
ES416	Windonshore	243.941
ES417	Windonshore	1085.041
ES418	Windonshore	766.53
ES419	Windonshore	659.434
ES421	Windonshore	2104.734
ES422	Windonshore	273.69
ES423	Windonshore	1575.105
ES424	Windonshore	662.409
ES425	Windonshore	177.502
ES431	Windonshore	19.833
ES432	Windonshore	146.761
ES511	Windonshore	75.364
ES512	Windonshore	0.0
ES513	Windonshore	250.387
ES514	Windonshore	870.651
ES521	Windonshore	90.238
ES522	Windonshore	907.143
ES523	Windonshore	570.187
ES532	Windonshore	0.0
ES611	Windonshore	536.472
ES612	Windonshore	1307.96
ES613	Windonshore	0.0
ES614	Windonshore	435.325
ES615	Windonshore	348.062
ES616	Windonshore	0.0
ES617	Windonshore	710.007
ES618	Windonshore	182.46
ES620	Windonshore	279.64
ES424	Nuclear	1024.154
ES432	Nuclear	2010.84
ES514	Nuclear	3023.465
ES523	Nuclear	1058.741
